timestamp,msg_type,src_addr,payload_size
1765532776.6127837,1,"('127.0.0.1', 37943)",24
1765532776.6162956,4,"('127.0.0.1', 37943)",12
1765532776.9775653,4,"('127.0.0.1', 37943)",12
1765532777.0738335,1,"('127.0.0.1', 59285)",24
1765532777.0755079,4,"('127.0.0.1', 59285)",12
1765532777.3851314,1,"('127.0.0.1', 40306)",24
1765532777.3869288,4,"('127.0.0.1', 40306)",12
1765532777.4768143,4,"('127.0.0.1', 37943)",12
1765532777.548773,4,"('127.0.0.1', 59285)",12
1765532777.614131,4,"('127.0.0.1', 40306)",12
1765532777.8992674,4,"('127.0.0.1', 59285)",12
1765532777.965939,4,"('127.0.0.1', 37943)",12
1765532777.9969316,4,"('127.0.0.1', 40306)",12
1765532778.1289315,4,"('127.0.0.1', 59285)",12
1765532778.4365773,4,"('127.0.0.1', 37943)",12
1765532778.4453416,4,"('127.0.0.1', 40306)",12
1765532778.5554507,4,"('127.0.0.1', 59285)",12
1765532778.7901824,4,"('127.0.0.1', 40306)",12
1765532778.8041325,4,"('127.0.0.1', 59285)",12
1765532778.9234123,4,"('127.0.0.1', 37943)",12
1765532779.112371,4,"('127.0.0.1', 40306)",12
1765532779.144118,4,"('127.0.0.1', 59285)",12
1765532779.3040955,4,"('127.0.0.1', 37943)",12
1765532779.5836205,4,"('127.0.0.1', 59285)",12
1765532779.6089768,4,"('127.0.0.1', 40306)",12
1765532779.781323,4,"('127.0.0.1', 37943)",12
1765532779.8513575,4,"('127.0.0.1', 59285)",12
1765532780.0002353,4,"('127.0.0.1', 40306)",12
