timestamp,msg_type,src_addr,payload_size
1765532908.6729841,1,"('127.0.0.1', 34675)",24
1765532908.8748705,4,"('127.0.0.1', 34675)",12
1765532908.9765143,4,"('127.0.0.1', 34675)",12
1765532909.0680072,1,"('127.0.0.1', 44284)",24
1765532909.2712197,4,"('127.0.0.1', 44284)",12
1765532909.3124285,4,"('127.0.0.1', 34675)",12
1765532909.3717802,4,"('127.0.0.1', 44284)",12
1765532909.4305882,4,"('127.0.0.1', 34675)",12
1765532909.4726841,4,"('127.0.0.1', 44284)",12
1765532909.5872571,1,"('127.0.0.1', 53001)",24
1765532909.6541958,4,"('127.0.0.1', 44284)",12
1765532909.6930184,4,"('127.0.0.1', 34675)",12
1765532909.7752538,4,"('127.0.0.1', 44284)",12
1765532909.789477,4,"('127.0.0.1', 53001)",12
1765532909.8341963,4,"('127.0.0.1', 34675)",12
1765532909.875787,4,"('127.0.0.1', 44284)",12
1765532909.9404306,4,"('127.0.0.1', 53001)",12
1765532910.0046341,4,"('127.0.0.1', 34675)",12
1765532910.0643058,4,"('127.0.0.1', 44284)",12
1765532910.127603,4,"('127.0.0.1', 53001)",12
1765532910.138276,4,"('127.0.0.1', 34675)",12
1765532910.1795318,4,"('127.0.0.1', 44284)",12
1765532910.2807982,4,"('127.0.0.1', 44284)",12
1765532910.3739953,4,"('127.0.0.1', 44284)",12
1765532910.4453878,4,"('127.0.0.1', 34675)",12
1765532910.4831593,4,"('127.0.0.1', 44284)",12
1765532910.5668793,4,"('127.0.0.1', 53001)",12
1765532910.584446,4,"('127.0.0.1', 44284)",12
1765532910.5948453,4,"('127.0.0.1', 34675)",12
1765532910.6951523,4,"('127.0.0.1', 53001)",12
1765532910.7033079,4,"('127.0.0.1', 44284)",12
1765532910.83743,4,"('127.0.0.1', 44284)",12
1765532910.9167404,4,"('127.0.0.1', 34675)",12
1765532910.9381824,4,"('127.0.0.1', 44284)",12
1765532910.9522476,4,"('127.0.0.1', 44284)",12
1765532911.0411115,4,"('127.0.0.1', 53001)",12
1765532911.050103,4,"('127.0.0.1', 34675)",12
1765532911.090194,4,"('127.0.0.1', 44284)",12
1765532911.1483653,4,"('127.0.0.1', 53001)",12
1765532911.1553023,4,"('127.0.0.1', 34675)",12
1765532911.1913815,4,"('127.0.0.1', 44284)",12
1765532911.2927237,4,"('127.0.0.1', 44284)",12
1765532911.301491,4,"('127.0.0.1', 34675)",12
1765532911.393871,4,"('127.0.0.1', 44284)",12
1765532911.4952784,4,"('127.0.0.1', 44284)",12
1765532911.5058286,4,"('127.0.0.1', 34675)",12
1765532911.5133774,4,"('127.0.0.1', 53001)",12
1765532911.6528788,4,"('127.0.0.1', 53001)",12
1765532911.6555877,4,"('127.0.0.1', 34675)",12
1765532911.7554383,4,"('127.0.0.1', 44284)",12
1765532911.8889349,4,"('127.0.0.1', 34675)",12
1765532911.9002485,4,"('127.0.0.1', 44284)",12
1765532911.9229255,4,"('127.0.0.1', 53001)",12
1765532912.0118773,4,"('127.0.0.1', 34675)",12
1765532912.0567017,4,"('127.0.0.1', 53001)",12
1765532912.1573725,4,"('127.0.0.1', 53001)",12
1765532912.1844156,4,"('127.0.0.1', 44284)",12
1765532912.264063,4,"('127.0.0.1', 53001)",12
1765532912.3053687,4,"('127.0.0.1', 44284)",12
1765532912.3887856,4,"('127.0.0.1', 34675)",12
1765532912.406185,4,"('127.0.0.1', 44284)",12
1765532912.408888,4,"('127.0.0.1', 53001)",12
1765532912.4795809,4,"('127.0.0.1', 53001)",12
1765532912.610424,4,"('127.0.0.1', 53001)",12
1765532912.6515493,4,"('127.0.0.1', 44284)",12
1765532912.711951,4,"('127.0.0.1', 53001)",12
1765532912.7730048,4,"('127.0.0.1', 34675)",12
1765532912.8748622,4,"('127.0.0.1', 34675)",12
1765532912.9069157,4,"('127.0.0.1', 44284)",12
1765532912.919953,4,"('127.0.0.1', 53001)",12
