timestamp,msg_type,src_addr,payload_size
1765532820.7059295,1,"('127.0.0.1', 33390)",24
1765532820.7093883,4,"('127.0.0.1', 33390)",12
1765532821.0943124,1,"('127.0.0.1', 43569)",24
1765532821.1002095,4,"('127.0.0.1', 43569)",12
1765532821.1912658,4,"('127.0.0.1', 33390)",12
1765532821.4251394,4,"('127.0.0.1', 43569)",12
1765532821.5353465,1,"('127.0.0.1', 48742)",24
1765532821.5374446,4,"('127.0.0.1', 48742)",12
1765532821.6781347,4,"('127.0.0.1', 33390)",12
1765532821.7411466,4,"('127.0.0.1', 48742)",12
1765532821.7517898,4,"('127.0.0.1', 43569)",12
1765532822.0708225,4,"('127.0.0.1', 33390)",12
1765532822.0801404,4,"('127.0.0.1', 48742)",12
1765532822.087887,4,"('127.0.0.1', 43569)",12
1765532822.3124175,4,"('127.0.0.1', 33390)",12
1765532822.3454406,4,"('127.0.0.1', 43569)",12
1765532822.4486623,4,"('127.0.0.1', 48742)",12
1765532822.55707,4,"('127.0.0.1', 33390)",12
1765532822.648589,4,"('127.0.0.1', 43569)",12
1765532822.715599,4,"('127.0.0.1', 48742)",12
1765532822.9136622,4,"('127.0.0.1', 33390)",12
1765532822.9681818,4,"('127.0.0.1', 43569)",12
1765532823.0437803,4,"('127.0.0.1', 48742)",12
1765532823.257316,4,"('127.0.0.1', 48742)",12
1765532823.2797074,4,"('127.0.0.1', 43569)",12
1765532823.3485458,4,"('127.0.0.1', 33390)",12
1765532823.4704723,4,"('127.0.0.1', 48742)",12
1765532823.6754422,4,"('127.0.0.1', 43569)",12
1765532823.6798558,4,"('127.0.0.1', 48742)",12
