timestamp,msg_type,dest_addr,snapshot_id,payload_size
1765519074.6842802,INIT_ACK,"('127.0.0.1', 58944)",0,24
1765519074.8566146,SNAPSHOT,"('127.0.0.1', 58944)",80,40
1765519075.1875882,INIT_ACK,"('127.0.0.1', 53164)",0,24
1765519075.6977684,INIT_ACK,"('127.0.0.1', 47328)",0,24
1765519075.902569,SNAPSHOT,"('127.0.0.1', 58944)",100,40
1765519075.9026952,SNAPSHOT,"('127.0.0.1', 53164)",100,40
1765519075.9028077,SNAPSHOT,"('127.0.0.1', 47328)",100,40
1765519076.955513,SNAPSHOT,"('127.0.0.1', 58944)",120,40
1765519076.955553,SNAPSHOT,"('127.0.0.1', 53164)",120,40
1765519076.955586,SNAPSHOT,"('127.0.0.1', 47328)",120,40
1765519077.954442,GAME_OVER,"('127.0.0.1', 58944)",0,10
1765519077.9875648,GAME_OVER,"('127.0.0.1', 53164)",0,10
1765519078.020688,GAME_OVER,"('127.0.0.1', 47328)",0,10
