timestamp,msg_type,dest_addr,snapshot_id,payload_size
1765519205.1025999,INIT_ACK,"('127.0.0.1', 39052)",0,24
1765519205.2128372,SNAPSHOT,"('127.0.0.1', 39052)",80,40
1765519205.6065006,INIT_ACK,"('127.0.0.1', 37940)",0,24
1765519206.112847,INIT_ACK,"('127.0.0.1', 46758)",0,24
1765519206.2770684,SNAPSHOT,"('127.0.0.1', 39052)",100,40
1765519206.2771428,SNAPSHOT,"('127.0.0.1', 37940)",100,40
1765519206.2771504,SNAPSHOT,"('127.0.0.1', 46758)",100,40
1765519207.3422956,SNAPSHOT,"('127.0.0.1', 39052)",120,40
1765519207.3423579,SNAPSHOT,"('127.0.0.1', 37940)",120,40
1765519207.3423722,SNAPSHOT,"('127.0.0.1', 46758)",120,40
1765519208.423555,SNAPSHOT,"('127.0.0.1', 39052)",140,40
1765519208.4236054,SNAPSHOT,"('127.0.0.1', 37940)",140,40
1765519208.4236383,SNAPSHOT,"('127.0.0.1', 46758)",140,40
1765519209.427713,GAME_OVER,"('127.0.0.1', 39052)",0,10
1765519209.461343,GAME_OVER,"('127.0.0.1', 37940)",0,10
1765519209.49517,GAME_OVER,"('127.0.0.1', 46758)",0,10
