timestamp,msg_type,src_addr,payload_size
1765550673.3000956,1,"('127.0.0.1', 53261)",24
1765550675.7006185,4,"('127.0.0.1', 53261)",6
1765550675.7052302,4,"('127.0.0.1', 53261)",12
1765550676.6839004,4,"('127.0.0.1', 53261)",6
1765550676.713504,4,"('127.0.0.1', 53261)",12
1765550678.5474734,4,"('127.0.0.1', 53261)",6
1765550678.580962,4,"('127.0.0.1', 53261)",12
1765550679.4990494,4,"('127.0.0.1', 53261)",6
1765550680.2997851,4,"('127.0.0.1', 53261)",6
1765550680.9748993,4,"('127.0.0.1', 53261)",6
1765550681.7555122,4,"('127.0.0.1', 53261)",6
1765550681.7560203,4,"('127.0.0.1', 53261)",12
1765550682.3594787,4,"('127.0.0.1', 53261)",6
1765550682.3610222,4,"('127.0.0.1', 53261)",12
1765550683.1346798,4,"('127.0.0.1', 53261)",6
1765550683.7542925,4,"('127.0.0.1', 53261)",6
1765550684.4159536,4,"('127.0.0.1', 53261)",6
1765550684.4287364,4,"('127.0.0.1', 53261)",12
1765550685.0056512,4,"('127.0.0.1', 53261)",6
1765550685.035812,4,"('127.0.0.1', 53261)",12
1765550685.5827508,4,"('127.0.0.1', 53261)",6
1765550685.5909808,4,"('127.0.0.1', 53261)",12
1765550686.2020483,4,"('127.0.0.1', 53261)",6
1765550686.820066,4,"('127.0.0.1', 53261)",6
1765550686.8517988,4,"('127.0.0.1', 53261)",12
1765550687.4754667,4,"('127.0.0.1', 53261)",6
1765550688.366933,4,"('127.0.0.1', 53261)",6
1765550689.0351982,4,"('127.0.0.1', 53261)",6
1765550689.703149,4,"('127.0.0.1', 53261)",6
1765550690.533932,4,"('127.0.0.1', 53261)",6
1765550691.209349,4,"('127.0.0.1', 53261)",6
1765550692.1954997,4,"('127.0.0.1', 53261)",6
1765550692.1977139,4,"('127.0.0.1', 53261)",12
1765550692.9041421,4,"('127.0.0.1', 53261)",6
1765550693.602589,4,"('127.0.0.1', 53261)",6
1765550693.6102383,4,"('127.0.0.1', 53261)",12
1765550694.4883554,4,"('127.0.0.1', 53261)",6
1765550694.5186808,4,"('127.0.0.1', 53261)",12
