timestamp,msg_type,dest_addr,snapshot_id,payload_size
1765534220.2549431,INIT_ACK,"('127.0.0.1', 54555)",0,24
1765534220.4753494,SNAPSHOT,"('127.0.0.1', 54555)",300,40
1765534221.487,SNAPSHOT,"('127.0.0.1', 54555)",320,40
1765534222.5049176,SNAPSHOT,"('127.0.0.1', 54555)",340,40
1765534223.5234132,SNAPSHOT,"('127.0.0.1', 54555)",360,40
1765534224.536263,SNAPSHOT,"('127.0.0.1', 54555)",380,40
1765534225.5547838,SNAPSHOT,"('127.0.0.1', 54555)",400,40
1765534226.5722268,SNAPSHOT,"('127.0.0.1', 54555)",420,40
1765534227.5834215,SNAPSHOT,"('127.0.0.1', 54555)",440,40
1765534228.5991433,SNAPSHOT,"('127.0.0.1', 54555)",460,40
1765534229.6120448,SNAPSHOT,"('127.0.0.1', 54555)",480,40
1765534230.6237879,SNAPSHOT,"('127.0.0.1', 54555)",500,40
1765534231.6314125,SNAPSHOT,"('127.0.0.1', 54555)",520,40
1765534232.6380167,SNAPSHOT,"('127.0.0.1', 54555)",540,40
1765534233.6456406,SNAPSHOT,"('127.0.0.1', 54555)",560,40
1765534234.6550696,SNAPSHOT,"('127.0.0.1', 54555)",580,40
1765534235.6735995,SNAPSHOT,"('127.0.0.1', 54555)",600,40
1765534236.69147,SNAPSHOT,"('127.0.0.1', 54555)",620,40
1765534237.7026381,SNAPSHOT,"('127.0.0.1', 54555)",640,40
1765534238.7167046,SNAPSHOT,"('127.0.0.1', 54555)",660,40
1765534239.7265952,SNAPSHOT,"('127.0.0.1', 54555)",680,40
1765534240.7371142,SNAPSHOT,"('127.0.0.1', 54555)",700,40
1765534241.7478907,SNAPSHOT,"('127.0.0.1', 54555)",720,40
1765534242.763944,SNAPSHOT,"('127.0.0.1', 54555)",740,40
1765534242.9806767,INIT_ACK,"('127.0.0.1', 37435)",0,24
1765534243.7711654,SNAPSHOT,"('127.0.0.1', 54555)",760,40
1765534243.7712657,SNAPSHOT,"('127.0.0.1', 37435)",760,40
1765534244.7781713,SNAPSHOT,"('127.0.0.1', 54555)",780,40
1765534244.7782173,SNAPSHOT,"('127.0.0.1', 37435)",780,40
1765534245.7907321,SNAPSHOT,"('127.0.0.1', 54555)",800,40
1765534245.7908201,SNAPSHOT,"('127.0.0.1', 37435)",800,40
1765534246.7981615,SNAPSHOT,"('127.0.0.1', 54555)",820,40
1765534246.7982888,SNAPSHOT,"('127.0.0.1', 37435)",820,40
1765534247.130684,SNAPSHOT,"('127.0.0.1', 54555)",840,40
1765534247.1307158,SNAPSHOT,"('127.0.0.1', 37435)",840,40
1765534248.1364093,SNAPSHOT,"('127.0.0.1', 54555)",860,40
